Manufacturer or brand,Caliber,Model,Serial number,Type,subType,Name of distibutor,Address,Purchase Country,City,Purchase State,Purchase date,Mex Recovery date,Mex Recovery area,US Recovery date,US recovery city,Reference case,Case Number,Case state,Jurisdiction,Indictment date,File date,Notes,PRIO Type,PRIO Type Code,Purchase date assumed,Mex Recovery date assumed,US Recovery date assumed,dblcnt_cenapi
Colt,0.38,Aztec Gold Super,,Pistol,,Tigard Pawn,11940 SW Pacific Hwy Ste A,US,Tigard,OR,5/6/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Pistols & Revolvers,210,5/6/14,7/8/14,,0
Colt,0.38,Aztec Gold Super,,Pistol,,Tigard Pawn,11940 SW Pacific Hwy Ste A,US,Tigard,OR,5/6/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Pistols & Revolvers,210,5/6/14,7/8/14,,0
Fabrique Nationale,7.62mm,SCAR 17S,,Rifle,,Curt's Discount Guns,17843 SE McLoughlin Blvd,US,MILWAUKIE,OR,5/7/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,5/7/14,7/8/14,,0
DPMS Panther Arms,0.308,,,Rifle,,Adaptive Firing Solutions Llc,14788 S Thayer Rd,US,Oregon City,OR,5/15/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,5/15/14,7/8/14,,0
DPMS Panther Arms,0.308,,,Rifle,,Adaptive Firing Solutions Llc,14788 S Thayer Rd,US,Oregon City,OR,5/15/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,5/15/14,7/8/14,,0
DPMS Panther Arms,0.308,,,Rifle,,Adaptive Firing Solutions Llc,14788 S Thayer Rd,US,Oregon City,OR,5/15/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,5/15/14,7/8/14,,0
DPMS Panther Arms,0.308,,,Rifle,,Adaptive Firing Solutions Llc,14788 S Thayer Rd,US,Oregon City,OR,5/15/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,5/15/14,7/8/14,,0
DPMS Panther Arms,0.308,,,Rifle,,Adaptive Firing Solutions Llc,14788 S Thayer Rd,US,Oregon City,OR,5/15/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,5/15/14,7/8/14,,0
DPMS Panther Arms,0.308,,,Rifle,,Adaptive Firing Solutions Llc,14788 S Thayer Rd,US,Oregon City,OR,5/15/2014,,,,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,,Rifles/Shotguns - Military,230,5/15/14,7/8/14,,0
Barrett,0.5,82A1,,Sniper Rifle,,Adaptive Firing Solutions Llc,14788 S Thayer Rd,US,Oregon City,OR,5/15/2014,7/8/2014,"Sonora, Mexico",,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,There is some inconsistency here with later filings that say two Baretts were picked upin Sonora on 6/14/24,Sniper rifles,235,5/15/14,7/8/14,,0
Barrett,0.5,82A1,,Sniper Rifle,,Adaptive Firing Solutions Llc,14788 S Thayer Rd,US,Oregon City,OR,5/15/2014,7/8/2014,"Sonora, Mexico",,,United States of America v. Erik Flores Elortegui,6:15-cr-00341-AA,Oregon,District of Oregon,9/16/2015,9/16/2015,There is some inconsistency here with later filings that say two Baretts were picked upin Sonora on 6/14/25,Sniper rifles,235,5/15/14,7/8/14,,0
Radical Firearms,multi,RF15,19-106183,Rifle,,The Hub,1400/1410 S ALVERNON WAY,US,TUCSON,AZ,10/17/2019,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,10/17/19,11/1/20,,0
Riley Defense,7.62x39mm,RAK47,B08228,Rifle,,The Hub,1400/1410 S ALVERNON WAY,US,TUCSON,AZ,10/17/2019,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,10/17/19,11/1/20,,0
DPMS Panther Arms,5.56mm,A15,FFH106847,Rifle,,Diamondback Shooting Sports,7030 E BROADWAY BLVD,US,TUCSON,AZ,10/24/2019,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,10/24/19,11/1/20,,0
Riley Defense,7.62x39mm,RAK47,B08166,Rifle,,Diamondback Shooting Sports,7030 E BROADWAY BLVD,US,TUCSON,AZ,10/24/2019,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,10/24/19,11/1/20,,0
Radom/Pioneer Arms,7.62x39mm,Sporter,PAC1126549,Rifle,,SNG Tactical,3441 S PALO VERDE STE 117-125,US,TUCSON,AZ,11/27/2019,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,11/27/19,11/1/20,,0
Romarm/Cugir,7.62x39mm,WASR10UF,UF-3915-19,Rifle,,SNG Tactical,3441 S PALO VERDE STE 117-125,US,TUCSON,AZ,11/27/2019,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,11/27/19,11/1/20,,0
American Tactical Imports,5.56mm,GOMX556P4BBFG,NS232176,Pistol,,Big D's Hot Shots,4933 W ONYX AVE,US,GLENDALE,AZ,1/5/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Pistols & Revolvers,210,1/5/20,11/1/20,,0
American Tactical Imports,5.56mm,GOMX556P4BBFG,NS232181,Pistol,,Big D's Hot Shots,4933 W ONYX AVE,US,GLENDALE,AZ,1/5/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Pistols & Revolvers,210,1/5/20,11/1/20,,0
Century Arms,7.62x39mm,VSKA,SV7009031,Rifle,,SNG Tactical,3441 S PALO VERDE STE 117-125,US,TUCSON,AZ,1/24/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,1/24/20,11/1/20,,0
Rodom/Pioneer Arms,7.62x39mm,Sporter,PAC1129624,Rifle,,SNG Tactical,3441 S PALO VERDE STE 117-125,US,TUCSON,AZ,1/24/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,1/24/20,11/1/20,,0
Century Arms,7.62x39mm,M70AB2,AB2-C108276,Rifle,,SNG Tactical,3441 S PALO VERDE STE 117-125,US,TUCSON,AZ,1/16/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,1/16/20,11/1/20,,0
Century Arms,7.62x39mm,M70AB2,AB2-C108660,Rifle,,SNG Tactical,3441 S PALO VERDE STE 117-125,US,TUCSON,AZ,1/16/2020,9/22/2020,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,1/16/20,11/1/20,,1
Century Arms,7.62x39mm,VSKA,SV7020688,Rifle,,Second Amendment Sports,5146 E PIMA ST,US,TUCSON,AZ,5/8/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,5/8/20,11/1/20,,0
Glock,9mm,17 Gen5,ADFU326,Pistol,,Second Amendment Sports,5146 E PIMA ST,US,TUCSON,AZ,5/8/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Pistols & Revolvers,210,5/8/20,11/1/20,,0
American Tactical Imports,5.56mm,GOMX556P4BBFG,NS232685,Pistol,,Big D's Hot Shots,4933 W ONYX AVE,US,GLENDALE,AZ,1/5/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Pistols & Revolvers,210,1/5/20,11/1/20,,0
American Tactical Imports,5.56mm,GOMX556P4BBFG,NS232937,Pistol,,Big D's Hot Shots,4933 W ONYX AVE,US,GLENDALE,AZ,1/5/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Pistols & Revolvers,210,1/5/20,11/1/20,,0
Romarm/Cugir,7.62x39mm,RH10,MA-30356-19,Rifle,,Liberty Pawn,1552 S 4TH AVE,US,TUCSON,AZ,3/21/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,3/21/20,11/1/20,,0
Century Arms,7.62x39mm,C39V2,C39V2A47368,Rifle,,Jim's Guns,8936 N PALM BROOK DRIVE,US,TUCSON,AZ,3/23/2020,,,,,United States of America v. Victor Coronado et al.,4:22-cr-02082-RM-EJM,Arizona,DISTRICT OF ARIZONA,9/21/2022,9/21/2022,"Date of recovery: average of ID#s 64, 65, 83, 88, 89, 95, 97",Rifles/Shotguns - Military,230,3/23/20,11/1/20,,0
