Manufacturer or brand,Caliber,Model,Serial number,Type,subType,Name of distibutor,Address,Purchase Country,City,Purchase State,Purchase date,Mex Recovery date,Mex Recovery area,US Recovery date,US recovery city,Reference case,Case Number,Case state,Jurisdiction,Indictment date,File date,Notes,PRIO Type,PRIO Type Code,Purchase date assumed,Mex Recovery date assumed,US Recovery date assumed,dblcnt_cenapi
Colt Pony Series,380,90,ML02999,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Harrington and Richardson,22,999 Sportsman,AZ014530,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,17-6,BDS9617,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
"Beretta, Pietro S.P.A",22,21A,DAA441947,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,380,Bodyguard,EAS5281,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,617,BRF8457,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,357,586,ACJ8866,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,22,Mark III,22862485,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,41,A140595A,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,22,Mark II,22500395,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,357,Security 5,152-59767,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,22,Single Six,262-85363,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
"Beretta, Pietro S.P.A",22,21A,BBS60962U,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,44,24-3,ABZ6735,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Walther,9,PPK,S129318,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
"Beretta, Pietro S.P.A",9,92FS,L73956Z,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,617,BFM8371,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Colt,380,Government,RC82722,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,22,Single Six,65-22871,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Harrington and Richardson,22,999,AE97021,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
"Keltec, CNC Industries, Inc.",22,PMR-30,W6583,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,9,SR9,330-23353,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,40,SD40VE,HES8250,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,38,360 J Airweight,CYA7554,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,Unknown Type,K147764,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Harrington and Richardson,22,940,AH34012,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Dan Wesson,357,Unknown Type,201962,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,357,GP100,170-54536,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,9,439,A790204,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
High Standard,22,R-101 Sentinel,1074975,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,22A-1,UBM5611,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Hipoint (Strassell's Machine Inc.),380,CF380,P8015920,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Criterion Die & Metal Inc.,22,CDM,168520,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,34,M77931,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,32,30,526060,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,357,686-6,CST9299,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Browning,22,Unknown Type,49649U5,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Browning,22,Unknown Type,46762U5,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Essex Arms Company,410,Unknown Type,19078,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Thompson/Center Arms Co.,308,Encore,MAE6836,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,38,36,73647,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Colt,380,Mustang Pocketlite,PL73366,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,53,K476208,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Taurus International,38,Protector Poly,F077172,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,357,13-3,20D6653,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Astra,44,A80,H9363,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Beretta USA Corp,9,PX4 Storm,PX1378F,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Beretta USA Corp,45,PX4 Storm,PK08590,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,44,Vaquero,58-06829,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Beretta USA Corp,25,21A,BAS32997V,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Israel Weapon IND- IWI (Israel Military IND-IMI),9,Uzi A,SA21210,Rifle,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,9,M&P 9 Shield EZ,RDZ7071,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Hipoint (Strassell's Machine Inc.),380,CF380,P762624,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,38,Unknown,S819335,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,40,SD40,DUZ7040,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,22,Single Six,263-18984,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
"Beretta, Pietro S.P.A.",9,85F,F07764Y,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Harrington & Richardson,22,923,N61478,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,9,M&P 9,HBJ7927,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Hipoint (Strassell's Machine Inc.),9,C9,P1590747,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,22S-1,UBJ1682,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Marlin Firearms Co.,22,70PSS,204413,Rifle,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Marlin Firearms Co,22,70P,13423400,Rifle,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Taurus International,38,5496,FG53354,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Rossi,38,3960,W143723,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
"KelTec, CNC Industries, Inc.",9,PF-9,RY568,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,38,10806,250981,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,45,1917,149938,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,38,9374,388049,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Harrington & Richardson,22,922,173511,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,1950,3B4461,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,34-1,M212780,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,357,686,ABS4698,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
"Beretta, Pietro S.P.A.",9,92FS,M94763Z,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Harrington & Richardson,357/20,258,BA457202,Rifle/Shotgun,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Harrington & Richardson,30-30/20,258,BA461354,Rifle/Shotgun,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Harrington & Richardson,357/20,258,AY594264,Rifle/Shotgun,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Harrington & Richardson,357/20,258,AZ471760,Rifle/Shotgun,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,617,BHN0584,Rifle/Shotgun,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Marble Arms Corp.,Multi,Game Getter Gun,1281,Combination,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,357,686-6,CZJ7966,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
"Glock, Inc.",9,43,ADWC758,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,48-2,1K69182,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,22,22/45 Lite,390-63126,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Marlin Firearms Co.,32,Unknown Type,1461,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Taurus International,9,G2C,ACK362672,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Colt,45,Commander,CLW046464,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Dan Wesson Arms,357,Unknown Type,295246,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
CZ (Ceska Zbrojovka),765,CZ50,NB52,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,41,657,ANE5279,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Colt,380,MKIV 80,RS01406,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Browning,6,Unknown Type,416460,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Germany,9,Luger,7370,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Colt,38,Cobra,C61799,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
"Springfield Armory, Geneseo, IL",40,XD40,XD415049,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,44,696,CBR8577,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,38,Airweight 38,31719,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Browning,22,Buckmark,515ZZ02389,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,357,686-3,BFK3463,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,22,NEW MDL SNGL SX HNTR,66-62627,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Thompson/Center Arms Co.,45/410,Unknown Type,552320,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,357,19-5,ACE8524,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,38,14-3,5K40350,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Browning,9,Unknown Type,245PZ73567,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,44,292-2,N357271,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Sterling Arms,22,Target 300L,2226,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,41,,N489555,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson 66-2,357,,ABM7561,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Bersa Thunder,380,380,561107,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Walther,9,Creed,DEFCH7091,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Walther,380,PK380,WB106488,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
High Standard,22,Double Nine W 101,1107516,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,357,60-9,CCL8365,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,63-3,BUH3364,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Colt,380,MK IV Series 80 Govt Model,RC82668,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Sig-Sauer,22,Mosquito,F002657,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,357,686,AFP3317,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,44,29-3,ADY0849,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Smith & Wesson,22,17-6,BEA0584,Revolver,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,22,Mark II Target,218-33815,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Hipoint (Strassell's Machine Inc.),45,JHP 45,X4264477,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Hipoint (Strassell's Machine Inc.),40,JCP 40,X7267967,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
Ruger,9,EC9S,457-96007,Pistol,,,,US,,,,,,,,USA v. Mull,1:23-cr-00094-JRS-MG,Indiana,Southern District of Indiana,6/20/2023,11/27/2023,1053 firearms associated with this one case,,,,,,0
